,Date,Customer Type,Delivery Type,Device Type,Revenue,before vs book,book vs select,select vs order,before vs order
66,2017-09-09,Existing,Store Collection,Desktop ,358630.0,-0.030731904569348968,-0.049228201919065497,-0.02917946467749013,-0.10533764658309745
67,2017-09-09,New,Store Collection,Desktop ,33648.0,-0.013944223107569721,-0.12121212121212122,-0.034482758620689655,-0.16334661354581673
68,2017-09-09,New,Home Delivery,Mobile ,18224.0,-0.06233766233766234,-0.22437673130193905,-0.04642857142857143,-0.3064935064935065
69,2017-09-09,Existing,Home Delivery,Mobile ,1558109.0,-0.03359577485451611,-0.06289849205545997,-0.05291862411577299,-0.1423052472003521
70,2017-09-09,New,Store Collection,Mobile ,2995.0,-0.16129032258064516,-0.057692307692307696,-0.061224489795918366,-0.25806451612903225
71,2017-09-09,Existing,Home Delivery,Desktop ,1649252.0,-0.02151109392372021,-0.05098310443632052,-0.07381572097865695,-0.13994295934644946
72,2017-09-10,Existing,Home Delivery,Mobile ,1601690.0,-0.027964480204091646,-0.10906980265482259,-0.025606163607523227,-0.15615954471863808
73,2017-09-10,Existing,Store Collection,Mobile ,356755.0,-0.0798625151637687,-0.08503625576796309,-0.013928914505283382,-0.16983420946219166
74,2017-09-10,New,Store Collection,Desktop ,34947.0,-0.10058027079303675,-0.07096774193548387,-0.013888888888888888,-0.1760154738878143
75,2017-09-10,New,Home Delivery,Desktop ,301497.0,-0.010616670431443416,-0.16187214611872147,-0.024244075183873604,-0.19087418116105714
76,2017-09-10,New,Home Delivery,Mobile ,18464.0,-0.09798994974874371,-0.233983286908078,-0.03636363636363636,-0.3341708542713568
77,2017-09-10,Existing,Store Collection,Desktop ,379813.0,-0.03529411764705882,-0.047068891741549,-0.05545577009429726,-0.13168214654282764
78,2017-09-10,Existing,Home Delivery,Desktop ,1686104.0,-0.03611859838274933,-0.019778320113890583,-0.06006535608693397,-0.11193334966919873
79,2017-09-10,New,Store Collection,Mobile ,2989.0,-0.10344827586206896,-0.038461538461538464,-0.08,-0.20689655172413793
80,2017-09-11,Existing,Home Delivery,Mobile ,1573287.0,-0.041927108375805364,-0.10629328515507377,-0.026111859838274933,-0.166121742475238
81,2017-09-11,Existing,Store Collection,Mobile ,349612.0,-0.0800161648817943,-0.07050296507797058,-0.013232514177693762,-0.1561931703374419
82,2017-09-11,New,Home Delivery,Desktop ,310222.0,-0.06631762652705062,-0.11542056074766355,-0.02746962493396725,-0.1967713787085515
83,2017-09-11,New,Home Delivery,Mobile ,17782.0,-0.15288220551378445,-0.17159763313609466,-0.03571428571428571,-0.3233082706766917
84,2017-09-11,New,Store Collection,Desktop ,35426.0,-0.05222437137330754,-0.08979591836734693,-0.03587443946188341,-0.16827852998065765
85,2017-09-11,Existing,Store Collection,Desktop ,355773.0,-0.08309915696507426,-0.020359019264448337,-0.058324022346368715,-0.15415495784825373
86,2017-09-11,New,Store Collection,Mobile ,2906.0,-0.11864406779661017,-0.057692307692307696,-0.061224489795918366,-0.22033898305084745
87,2017-09-11,Existing,Home Delivery,Desktop ,1732054.0,-0.008503315280660019,-0.020470672316095766,-0.06405044819678966,-0.09100571949182568
88,2017-09-12,Existing,Home Delivery,Mobile ,1597619.0,-0.02920884322908798,-0.08626861026093272,-0.008799818326331327,-0.12076345872991892
89,2017-09-12,Existing,Store Collection,Mobile ,347930.0,-0.12490302560124127,-0.056072695035460994,-0.010331063629960084,-0.18250581846392552
90,2017-09-12,New,Store Collection,Desktop ,34160.0,-0.010395010395010396,-0.09873949579831932,-0.006993006993006993,-0.11434511434511435
91,2017-09-12,Existing,Store Collection,Desktop ,367985.0,-0.059356136820925554,-0.0720855614973262,-0.008068234209313048,-0.13420523138833
92,2017-09-12,New,Store Collection,Mobile ,2915.0,-0.1016949152542373,-0.07547169811320754,-0.04081632653061224,-0.2033898305084746
93,2017-09-12,Existing,Home Delivery,Desktop ,1709779.0,-0.05080071604818811,-0.025536469748712983,-0.06025734909509363,-0.13077555759833567
